linea,tren_id,portador,estacion,dist_km,hora_min
L2,C-TRANSAP-60511,TRANSAP,Lomas Coloradas,11.026,58.0
L2,C-TRANSAP-60511,TRANSAP,Escuadrón,19.398,67.0
L2,C-TRANSAP-60511,TRANSAP,Lagunillas,23.804,73.0
L2,C-TRANSAP-60511,TRANSAP,CORONEL,27.355,79.0
L2,C-TRANSAP-60511,TRANSAP,Lota,36.604,140.0
L1,C-TRANSAP-60512,TRANSAP,Unihue,29.397,3.0
L1,C-TRANSAP-60512,TRANSAP,CONCEPCIÓN,68.521,1383.0
L2,C-TRANSAP-60512,TRANSAP,Lota,36.604,1310.0
L2,C-TRANSAP-60512,TRANSAP,CORONEL,27.355,1340.0
L2,C-TRANSAP-60512,TRANSAP,Lagunillas,23.804,1346.0
L2,C-TRANSAP-60512,TRANSAP,Escuadrón,19.398,1352.0
L2,C-TRANSAP-60512,TRANSAP,Lomas Coloradas,11.026,1361.0
L2,C-TRANSAP-60512,TRANSAP,Boca Sur,7.439,1366.0
L2,C-TRANSAP-60512,TRANSAP,Biobío,3.351,1371.0
L2,C-TRANSAP-60512,TRANSAP,CONCEPCIÓN,1.0,1383.0
L1,C-TRANSAP-60513,TRANSAP,LAJA,1.6,585.0
L1,C-TRANSAP-60513,TRANSAP,SAN ROSENDO,4.0,593.0
L1,C-TRANSAP-60513,TRANSAP,Buenuraqui,8.467,632.0
L1,C-TRANSAP-60513,TRANSAP,Gomero,15.324,644.0
L1,C-TRANSAP-60513,TRANSAP,Talcamávida,22.798,657.0
L1,C-TRANSAP-60513,TRANSAP,Unihue,29.397,667.0
L1,C-TRANSAP-60513,TRANSAP,Quilacoya,36.53,697.0
L1,C-TRANSAP-60513,TRANSAP,Hualqui,46.917,712.0
L1,C-TRANSAP-60513,TRANSAP,La Leonera,55.32,732.0
L1,C-TRANSAP-60513,TRANSAP,Chiguayante,60.31,737.0
L1,C-TRANSAP-60513,TRANSAP,CONCEPCIÓN,68.521,751.0
L2,C-TRANSAP-60513,TRANSAP,CONCEPCIÓN,1.0,751.0
L2,C-TRANSAP-60513,TRANSAP,Biobío,3.351,763.0
L2,C-TRANSAP-60513,TRANSAP,Boca Sur,7.439,768.0
L2,C-TRANSAP-60513,TRANSAP,Lomas Coloradas,11.026,773.0
L2,C-TRANSAP-60513,TRANSAP,Escuadrón,19.398,782.0
L2,C-TRANSAP-60513,TRANSAP,Lagunillas,23.804,788.0
L2,C-TRANSAP-60513,TRANSAP,CORONEL,27.355,794.0
L2,C-TRANSAP-60513,TRANSAP,Lota,36.604,840.0
L1,C-TRANSAP-60520,TRANSAP,LAJA,1.6,1285.0
L1,C-TRANSAP-60520,TRANSAP,SAN ROSENDO,4.0,1293.0
L1,C-TRANSAP-60521,TRANSAP,SAN ROSENDO,4.0,833.0
L1,C-TRANSAP-60521,TRANSAP,LAJA,1.6,841.0
L1,C-TRANSAP-60522,TRANSAP,LAJA,1.6,590.0
L1,C-TRANSAP-60522,TRANSAP,SAN ROSENDO,4.0,598.0
L1,C-TRANSAP-60523,TRANSAP,SAN ROSENDO,4.0,143.0
L1,C-TRANSAP-60523,TRANSAP,LAJA,1.6,151.0
