linea,block_id,dist_lo,dist_hi,longitud_m,tipo,limite,nombre
L1,L1-B25,36.53,37.14,610.0,double,estacion,QUILACOYA → km37.14
L1,L1-B26,37.14,37.69,550.0,double,señal,km37.14 → km37.69
L1,L1-B27,37.69,46.15,8460.0,double,señal,km37.69 → km46.15
L1,L1-B28,46.15,46.917,767.0,double,señal,km46.15 → HUALQUI
L1,L1-B29,46.917,46.92,3.0,double,estacion,HUALQUI → km46.92
L1,L1-B30,46.92,47.83,910.0,single,estacion,km46.92 → km47.83
L1,L1-B31,47.83,52.8,4970.0,single,señal,km47.83 → km52.80
L1,L1-B32,52.8,53.21,410.0,single,señal,km52.80 → OMER HUET
L1,L1-B33,53.21,54.18,970.0,single,estacion,OMER HUET → km54.18
L1,L1-B34,54.18,55.32,1140.0,single,señal,km54.18 → LA LEONERA
L1,L1-B35,55.32,56.13,810.0,double,estacion,LA LEONERA → km56.13
L1,L1-B36,56.13,56.983,853.0,double,señal,km56.13 → Manquimávida
L1,L1-B37,56.983,58.647,1664.0,double,estacion,Manquimávida → Pedro Medina
L1,L1-B38,58.647,59.43,783.0,double,estacion,Pedro Medina → km59.43
L1,L1-B39,59.43,60.31,880.0,double,señal,km59.43 → CHIGUAYANTE
L1,L1-B40,60.31,61.27,960.0,double,estacion,CHIGUAYANTE → km61.27
L1,L1-B41,61.27,68.521,7251.0,double,señal,km61.27 → CONCEPCIÓN
L1,L1-B42,68.521,68.82,299.0,double,estacion,CONCEPCIÓN → km68.82
L1,L1-B43,68.82,70.29,1470.0,double,señal,km68.82 → km70.29
L1,L1-B44,70.29,70.34,50.0,double,señal,km70.29 → km70.34
L1,L1-B45,70.34,70.7,360.0,double,señal,km70.34 → km70.70
L1,L1-B46,70.7,72.42,1720.0,double,señal,km70.70 → km72.42
L1,L1-B47,72.42,72.878,458.0,double,señal,km72.42 → Lorenzo Arenas
L1,L1-B48,72.878,73.73,852.0,double,estacion,Lorenzo Arenas → km73.73
L1,L1-B49,73.73,76.06,2330.0,double,señal,km73.73 → UTF Santa María
L1,L1-B50,76.06,77.17,1110.0,double,estacion,UTF Santa María → km77.17
L1,L1-B51,77.17,79.215,2045.0,double,señal,km77.17 → Los Cóndores
L1,L1-B52,79.215,80.56,1345.0,double,estacion,Los Cóndores → km80.56
L1,L1-B53,80.56,81.36,800.0,double,señal,km80.56 → Hospital Las Higueras
L1,L1-B54,81.36,81.76,400.0,double,estacion,Hospital Las Higueras → km81.76
L1,L1-B55,81.76,82.57,810.0,double,señal,km81.76 → km82.57
L1,L1-B56,82.57,82.79,220.0,double,señal,km82.57 → El Arenal
L1,L1-B57,82.79,83.38,590.0,single,estacion,El Arenal → km83.38
L1,L1-B58,83.38,83.77,390.0,single,señal,km83.38 → km83.77
L1,L1-B59,83.77,84.78,1010.0,single,señal,km83.77 → km84.78
L1,L1-B60,84.78,84.996,216.0,double,estacion,km84.78 → Mercado
