t_min,t_s,unidad,servicio,tramo,sentido,dist_km,estado
330.0,19800,SFE 3,20281,L2,CC->CW,1.0,circulando
330.0,19800,SFE 1,,,,,cochera:CORONEL
330.0,19800,SFE 10,,,,,cochera:CORONEL
330.0,19800,SFE 11,,,,,cochera:CORONEL
330.0,19800,SFE 2,,,,,cochera:CORONEL
330.0,19800,SFE 5,,,,,cochera:CORONEL
330.0,19800,SFE 8,,,,,cochera:CORONEL
330.0,19800,SFE 9,,,,,cochera:CORONEL
330.0,19800,SFE 4,,,,,cochera:LOMAS COLORADAS
330.0,19800,SFE 6,,,,,cochera:LOMAS COLORADAS
330.0,19800,SFE 7,,,,,cochera:Cristo Redentor
330.0,19800,SFE B1,,,,,cochera:LAJA
330.0,19800,SFE B2,,,,,cochera:El Arenal
330.0,19800,UT 2,,,,,cochera:El Arenal
330.0,19800,SFE B3,,,,,cochera:HUALQUI
330.0,19800,UT 1,,,,,cochera:OMER HUET
332.0,19920,SFE 3,20281,L2,CC->CW,1.946,circulando
332.0,19920,SFE 1,,,,,cochera:CORONEL
332.0,19920,SFE 10,,,,,cochera:CORONEL
332.0,19920,SFE 11,,,,,cochera:CORONEL
332.0,19920,SFE 2,,,,,cochera:CORONEL
332.0,19920,SFE 5,,,,,cochera:CORONEL
332.0,19920,SFE 8,,,,,cochera:CORONEL
332.0,19920,SFE 9,,,,,cochera:CORONEL
332.0,19920,SFE 4,,,,,cochera:LOMAS COLORADAS
332.0,19920,SFE 6,,,,,cochera:LOMAS COLORADAS
332.0,19920,SFE 7,,,,,cochera:Cristo Redentor
332.0,19920,SFE B1,,,,,cochera:LAJA
332.0,19920,SFE B2,,,,,cochera:El Arenal
332.0,19920,UT 2,,,,,cochera:El Arenal
332.0,19920,SFE B3,,,,,cochera:HUALQUI
332.0,19920,UT 1,,,,,cochera:OMER HUET
334.0,20040,SFE 3,20281,L2,CC->CW,2.893,circulando
334.0,20040,SFE 1,,,,,cochera:CORONEL
334.0,20040,SFE 10,,,,,cochera:CORONEL
334.0,20040,SFE 11,,,,,cochera:CORONEL
334.0,20040,SFE 2,,,,,cochera:CORONEL
334.0,20040,SFE 5,,,,,cochera:CORONEL
334.0,20040,SFE 8,,,,,cochera:CORONEL
334.0,20040,SFE 9,,,,,cochera:CORONEL
334.0,20040,SFE 4,,,,,cochera:LOMAS COLORADAS
334.0,20040,SFE 6,,,,,cochera:LOMAS COLORADAS
334.0,20040,SFE 7,,,,,cochera:Cristo Redentor
334.0,20040,SFE B1,,,,,cochera:LAJA
334.0,20040,SFE B2,,,,,cochera:El Arenal
334.0,20040,UT 2,,,,,cochera:El Arenal
334.0,20040,SFE B3,,,,,cochera:HUALQUI
334.0,20040,UT 1,,,,,cochera:OMER HUET
336.0,20160,SFE 3,20281,L2,CC->CW,3.839,circulando
336.0,20160,SFE 1,,,,,cochera:CORONEL
336.0,20160,SFE 10,,,,,cochera:CORONEL
336.0,20160,SFE 11,,,,,cochera:CORONEL
336.0,20160,SFE 2,,,,,cochera:CORONEL
336.0,20160,SFE 5,,,,,cochera:CORONEL
336.0,20160,SFE 8,,,,,cochera:CORONEL
336.0,20160,SFE 9,,,,,cochera:CORONEL
336.0,20160,SFE 4,,,,,cochera:LOMAS COLORADAS
336.0,20160,SFE 6,,,,,cochera:LOMAS COLORADAS
336.0,20160,SFE 7,,,,,cochera:Cristo Redentor
336.0,20160,SFE B1,,,,,cochera:LAJA
336.0,20160,SFE B2,,,,,cochera:El Arenal
336.0,20160,UT 2,,,,,cochera:El Arenal
336.0,20160,SFE B3,,,,,cochera:HUALQUI
336.0,20160,UT 1,,,,,cochera:OMER HUET
338.0,20280,SFE 3,20281,L2,CC->CW,4.868,circulando
338.0,20280,SFE 1,,,,,cochera:CORONEL
338.0,20280,SFE 10,,,,,cochera:CORONEL
338.0,20280,SFE 11,,,,,cochera:CORONEL
338.0,20280,SFE 2,,,,,cochera:CORONEL
338.0,20280,SFE 5,,,,,cochera:CORONEL
338.0,20280,SFE 8,,,,,cochera:CORONEL
338.0,20280,SFE 9,,,,,cochera:CORONEL
338.0,20280,SFE 4,,,,,cochera:LOMAS COLORADAS
338.0,20280,SFE 6,,,,,cochera:LOMAS COLORADAS
338.0,20280,SFE 7,,,,,cochera:Cristo Redentor
338.0,20280,SFE B1,,,,,cochera:LAJA
338.0,20280,SFE B2,,,,,cochera:El Arenal
338.0,20280,UT 2,,,,,cochera:El Arenal
338.0,20280,SFE B3,,,,,cochera:HUALQUI
338.0,20280,UT 1,,,,,cochera:OMER HUET
340.0,20400,SFE 3,20281,L2,CC->CW,5.896,circulando
340.0,20400,SFE B3,20200,L1,TH->LJ,46.917,circulando
340.0,20400,SFE 1,,,,,cochera:CORONEL
340.0,20400,SFE 10,,,,,cochera:CORONEL
340.0,20400,SFE 11,,,,,cochera:CORONEL
340.0,20400,SFE 2,,,,,cochera:CORONEL
340.0,20400,SFE 5,,,,,cochera:CORONEL
340.0,20400,SFE 8,,,,,cochera:CORONEL
340.0,20400,SFE 9,,,,,cochera:CORONEL
340.0,20400,SFE 4,,,,,cochera:LOMAS COLORADAS
340.0,20400,SFE 6,,,,,cochera:LOMAS COLORADAS
340.0,20400,SFE 7,,,,,cochera:Cristo Redentor
340.0,20400,SFE B1,,,,,cochera:LAJA
340.0,20400,SFE B2,,,,,cochera:El Arenal
340.0,20400,UT 2,,,,,cochera:El Arenal
340.0,20400,UT 1,,,,,cochera:OMER HUET
342.0,20520,SFE 3,20281,L2,CC->CW,6.925,circulando
342.0,20520,SFE B3,20200,L1,TH->LJ,45.028,circulando
342.0,20520,SFE 1,,,,,cochera:CORONEL
342.0,20520,SFE 10,,,,,cochera:CORONEL
342.0,20520,SFE 11,,,,,cochera:CORONEL
342.0,20520,SFE 2,,,,,cochera:CORONEL
342.0,20520,SFE 5,,,,,cochera:CORONEL
342.0,20520,SFE 8,,,,,cochera:CORONEL
342.0,20520,SFE 9,,,,,cochera:CORONEL
342.0,20520,SFE 4,,,,,cochera:LOMAS COLORADAS
342.0,20520,SFE 6,,,,,cochera:LOMAS COLORADAS
342.0,20520,SFE 7,,,,,cochera:Cristo Redentor
342.0,20520,SFE B1,,,,,cochera:LAJA
342.0,20520,SFE B2,,,,,cochera:El Arenal
342.0,20520,UT 2,,,,,cochera:El Arenal
342.0,20520,UT 1,,,,,cochera:OMER HUET
344.0,20640,SFE 3,20281,L2,CC->CW,8.037,circulando
344.0,20640,SFE B3,20200,L1,TH->LJ,43.14,circulando
344.0,20640,SFE 1,,,,,cochera:CORONEL
344.0,20640,SFE 10,,,,,cochera:CORONEL
344.0,20640,SFE 11,,,,,cochera:CORONEL
344.0,20640,SFE 2,,,,,cochera:CORONEL
344.0,20640,SFE 5,,,,,cochera:CORONEL
344.0,20640,SFE 8,,,,,cochera:CORONEL
344.0,20640,SFE 9,,,,,cochera:CORONEL
344.0,20640,SFE 4,,,,,cochera:LOMAS COLORADAS
344.0,20640,SFE 6,,,,,cochera:LOMAS COLORADAS
344.0,20640,SFE 7,,,,,cochera:Cristo Redentor
344.0,20640,SFE B1,,,,,cochera:LAJA
344.0,20640,SFE B2,,,,,cochera:El Arenal
344.0,20640,UT 2,,,,,cochera:El Arenal
344.0,20640,UT 1,,,,,cochera:OMER HUET
346.0,20760,SFE 3,20281,L2,CC->CW,9.232,circulando
346.0,20760,SFE B3,20200,L1,TH->LJ,41.251,circulando
346.0,20760,UT 1,20202,L1,TH->LJ,52.638,circulando
346.0,20760,SFE 1,,,,,cochera:CORONEL
346.0,20760,SFE 10,,,,,cochera:CORONEL
346.0,20760,SFE 11,,,,,cochera:CORONEL
346.0,20760,SFE 2,,,,,cochera:CORONEL
346.0,20760,SFE 5,,,,,cochera:CORONEL
346.0,20760,SFE 8,,,,,cochera:CORONEL
346.0,20760,SFE 9,,,,,cochera:CORONEL
346.0,20760,SFE 4,,,,,cochera:LOMAS COLORADAS
346.0,20760,SFE 6,,,,,cochera:LOMAS COLORADAS
346.0,20760,SFE 7,,,,,cochera:Cristo Redentor
346.0,20760,SFE B1,,,,,cochera:LAJA
346.0,20760,SFE B2,,,,,cochera:El Arenal
346.0,20760,UT 2,,,,,cochera:El Arenal
348.0,20880,SFE 3,20281,L2,CC->CW,10.428,circulando
348.0,20880,SFE B3,20200,L1,TH->LJ,39.363,circulando
348.0,20880,UT 1,20202,L1,TH->LJ,51.494,circulando
348.0,20880,SFE 1,,,,,cochera:CORONEL
348.0,20880,SFE 10,,,,,cochera:CORONEL
348.0,20880,SFE 11,,,,,cochera:CORONEL
348.0,20880,SFE 2,,,,,cochera:CORONEL
348.0,20880,SFE 5,,,,,cochera:CORONEL
348.0,20880,SFE 8,,,,,cochera:CORONEL
348.0,20880,SFE 9,,,,,cochera:CORONEL
348.0,20880,SFE 4,,,,,cochera:LOMAS COLORADAS
348.0,20880,SFE 6,,,,,cochera:LOMAS COLORADAS
348.0,20880,SFE 7,,,,,cochera:Cristo Redentor
348.0,20880,SFE B1,,,,,cochera:LAJA
348.0,20880,SFE B2,,,,,cochera:El Arenal
348.0,20880,UT 2,,,,,cochera:El Arenal
350.0,21000,SFE 3,20281,L2,CC->CW,11.452,circulando
350.0,21000,SFE B3,20200,L1,TH->LJ,37.474,circulando
350.0,21000,UT 1,20202,L1,TH->LJ,50.35,circulando
350.0,21000,SFE 1,,,,,cochera:CORONEL
350.0,21000,SFE 10,,,,,cochera:CORONEL
350.0,21000,SFE 11,,,,,cochera:CORONEL
350.0,21000,SFE 2,,,,,cochera:CORONEL
350.0,21000,SFE 5,,,,,cochera:CORONEL
350.0,21000,SFE 8,,,,,cochera:CORONEL
350.0,21000,SFE 9,,,,,cochera:CORONEL
350.0,21000,SFE 4,,,,,cochera:LOMAS COLORADAS
350.0,21000,SFE 6,,,,,cochera:LOMAS COLORADAS
350.0,21000,SFE 7,,,,,cochera:Cristo Redentor
350.0,21000,SFE B1,,,,,cochera:LAJA
350.0,21000,SFE B2,,,,,cochera:El Arenal
350.0,21000,UT 2,,,,,cochera:El Arenal
352.0,21120,SFE 3,20281,L2,CC->CW,12.304,circulando
352.0,21120,SFE B3,20200,L1,TH->LJ,35.638,circulando
352.0,21120,UT 1,20202,L1,TH->LJ,49.205,circulando
352.0,21120,SFE 1,,,,,cochera:CORONEL
352.0,21120,SFE 10,,,,,cochera:CORONEL
352.0,21120,SFE 11,,,,,cochera:CORONEL
352.0,21120,SFE 2,,,,,cochera:CORONEL
352.0,21120,SFE 5,,,,,cochera:CORONEL
352.0,21120,SFE 8,,,,,cochera:CORONEL
352.0,21120,SFE 9,,,,,cochera:CORONEL
352.0,21120,SFE 4,,,,,cochera:LOMAS COLORADAS
352.0,21120,SFE 6,,,,,cochera:LOMAS COLORADAS
352.0,21120,SFE 7,,,,,cochera:Cristo Redentor
352.0,21120,SFE B1,,,,,cochera:LAJA
352.0,21120,SFE B2,,,,,cochera:El Arenal
352.0,21120,UT 2,,,,,cochera:El Arenal
354.0,21240,SFE 3,20281,L2,CC->CW,13.156,circulando
354.0,21240,SFE B3,20200,L1,TH->LJ,33.855,circulando
354.0,21240,UT 1,20202,L1,TH->LJ,48.061,circulando
354.0,21240,SFE 1,,,,,cochera:CORONEL
354.0,21240,SFE 10,,,,,cochera:CORONEL
354.0,21240,SFE 11,,,,,cochera:CORONEL
354.0,21240,SFE 2,,,,,cochera:CORONEL
354.0,21240,SFE 5,,,,,cochera:CORONEL
354.0,21240,SFE 8,,,,,cochera:CORONEL
354.0,21240,SFE 9,,,,,cochera:CORONEL
354.0,21240,SFE 4,,,,,cochera:LOMAS COLORADAS
354.0,21240,SFE 6,,,,,cochera:LOMAS COLORADAS
354.0,21240,SFE 7,,,,,cochera:Cristo Redentor
354.0,21240,SFE B1,,,,,cochera:LAJA
354.0,21240,SFE B2,,,,,cochera:El Arenal
354.0,21240,UT 2,,,,,cochera:El Arenal
356.0,21360,SFE 1,20000,L2,CW->CC,26.69,circulando
356.0,21360,SFE 3,20281,L2,CC->CW,14.007,circulando
356.0,21360,SFE B3,20200,L1,TH->LJ,32.072,circulando
356.0,21360,UT 1,20202,L1,TH->LJ,46.917,circulando
356.0,21360,SFE 10,,,,,cochera:CORONEL
356.0,21360,SFE 11,,,,,cochera:CORONEL
356.0,21360,SFE 2,,,,,cochera:CORONEL
356.0,21360,SFE 5,,,,,cochera:CORONEL
356.0,21360,SFE 8,,,,,cochera:CORONEL
356.0,21360,SFE 9,,,,,cochera:CORONEL
356.0,21360,SFE 4,,,,,cochera:LOMAS COLORADAS
356.0,21360,SFE 6,,,,,cochera:LOMAS COLORADAS
356.0,21360,SFE 7,,,,,cochera:Cristo Redentor
356.0,21360,SFE B1,,,,,cochera:LAJA
356.0,21360,SFE B2,,,,,cochera:El Arenal
356.0,21360,UT 2,,,,,cochera:El Arenal
358.0,21480,SFE 1,20000,L2,CW->CC,25.58,circulando
358.0,21480,SFE 3,20281,L2,CC->CW,14.859,circulando
358.0,21480,SFE B3,20200,L1,TH->LJ,30.289,circulando
358.0,21480,SFE 10,,,,,cochera:CORONEL
358.0,21480,SFE 11,,,,,cochera:CORONEL
358.0,21480,SFE 2,,,,,cochera:CORONEL
358.0,21480,SFE 5,,,,,cochera:CORONEL
358.0,21480,SFE 8,,,,,cochera:CORONEL
358.0,21480,SFE 9,,,,,cochera:CORONEL
358.0,21480,SFE 4,,,,,cochera:LOMAS COLORADAS
358.0,21480,SFE 6,,,,,cochera:LOMAS COLORADAS
358.0,21480,SFE 7,,,,,cochera:Cristo Redentor
358.0,21480,SFE B1,,,,,cochera:LAJA
358.0,21480,SFE B2,,,,,cochera:El Arenal
358.0,21480,UT 2,,,,,cochera:El Arenal
358.0,21480,UT 1,,,,,cochera:HUALQUI
360.0,21600,SFE 1,20000,L2,CW->CC,24.25,circulando
360.0,21600,SFE 3,20281,L2,CC->CW,15.711,circulando
360.0,21600,SFE B3,20200,L1,TH->LJ,28.664,circulando
360.0,21600,SFE 10,,,,,cochera:CORONEL
360.0,21600,SFE 11,,,,,cochera:CORONEL
360.0,21600,SFE 2,,,,,cochera:CORONEL
360.0,21600,SFE 5,,,,,cochera:CORONEL
360.0,21600,SFE 8,,,,,cochera:CORONEL
360.0,21600,SFE 9,,,,,cochera:CORONEL
360.0,21600,SFE 4,,,,,cochera:LOMAS COLORADAS
360.0,21600,SFE 6,,,,,cochera:LOMAS COLORADAS
360.0,21600,SFE 7,,,,,cochera:Cristo Redentor
360.0,21600,SFE B1,,,,,cochera:LAJA
360.0,21600,SFE B2,,,,,cochera:El Arenal
360.0,21600,UT 2,,,,,cochera:El Arenal
360.0,21600,UT 1,,,,,cochera:HUALQUI
362.0,21720,SFE 1,20000,L2,CW->CC,22.626,circulando
362.0,21720,SFE 3,20281,L2,CC->CW,17.095,circulando
362.0,21720,SFE B3,20200,L1,TH->LJ,27.197,circulando
362.0,21720,SFE 10,,,,,cochera:CORONEL
362.0,21720,SFE 11,,,,,cochera:CORONEL
362.0,21720,SFE 2,,,,,cochera:CORONEL
362.0,21720,SFE 5,,,,,cochera:CORONEL
362.0,21720,SFE 8,,,,,cochera:CORONEL
362.0,21720,SFE 9,,,,,cochera:CORONEL
362.0,21720,SFE 4,,,,,cochera:LOMAS COLORADAS
362.0,21720,SFE 6,,,,,cochera:LOMAS COLORADAS
362.0,21720,SFE 7,,,,,cochera:Cristo Redentor
362.0,21720,SFE B1,,,,,cochera:LAJA
362.0,21720,SFE B2,,,,,cochera:El Arenal
362.0,21720,UT 2,,,,,cochera:El Arenal
362.0,21720,UT 1,,,,,cochera:HUALQUI
364.0,21840,SFE 1,20000,L2,CW->CC,20.55,circulando
364.0,21840,SFE 3,20281,L2,CC->CW,19.012,circulando
364.0,21840,SFE B3,20200,L1,TH->LJ,25.731,circulando
364.0,21840,SFE 10,,,,,cochera:CORONEL
364.0,21840,SFE 11,,,,,cochera:CORONEL
364.0,21840,SFE 2,,,,,cochera:CORONEL
364.0,21840,SFE 5,,,,,cochera:CORONEL
364.0,21840,SFE 8,,,,,cochera:CORONEL
364.0,21840,SFE 9,,,,,cochera:CORONEL
364.0,21840,SFE 4,,,,,cochera:LOMAS COLORADAS
364.0,21840,SFE 6,,,,,cochera:LOMAS COLORADAS
364.0,21840,SFE 7,,,,,cochera:Cristo Redentor
364.0,21840,SFE B1,,,,,cochera:LAJA
364.0,21840,SFE B2,,,,,cochera:El Arenal
364.0,21840,UT 2,,,,,cochera:El Arenal
364.0,21840,UT 1,,,,,cochera:HUALQUI
366.0,21960,SFE 1,20000,L2,CW->CC,18.473,circulando
366.0,21960,SFE 3,20281,L2,CC->CW,20.929,circulando
366.0,21960,SFE B3,20200,L1,TH->LJ,24.264,circulando
366.0,21960,SFE 10,,,,,cochera:CORONEL
366.0,21960,SFE 11,,,,,cochera:CORONEL
366.0,21960,SFE 2,,,,,cochera:CORONEL
366.0,21960,SFE 5,,,,,cochera:CORONEL
366.0,21960,SFE 8,,,,,cochera:CORONEL
366.0,21960,SFE 9,,,,,cochera:CORONEL
366.0,21960,SFE 4,,,,,cochera:LOMAS COLORADAS
366.0,21960,SFE 6,,,,,cochera:LOMAS COLORADAS
366.0,21960,SFE 7,,,,,cochera:Cristo Redentor
366.0,21960,SFE B1,,,,,cochera:LAJA
366.0,21960,SFE B2,,,,,cochera:El Arenal
366.0,21960,UT 2,,,,,cochera:El Arenal
366.0,21960,UT 1,,,,,cochera:HUALQUI
368.0,22080,SFE 1,20000,L2,CW->CC,17.138,circulando
368.0,22080,SFE 3,20281,L2,CC->CW,22.846,circulando
368.0,22080,SFE B3,20200,L1,TH->LJ,22.798,circulando
368.0,22080,SFE 10,,,,,cochera:CORONEL
368.0,22080,SFE 11,,,,,cochera:CORONEL
368.0,22080,SFE 2,,,,,cochera:CORONEL
368.0,22080,SFE 5,,,,,cochera:CORONEL
368.0,22080,SFE 8,,,,,cochera:CORONEL
368.0,22080,SFE 9,,,,,cochera:CORONEL
368.0,22080,SFE 4,,,,,cochera:LOMAS COLORADAS
368.0,22080,SFE 6,,,,,cochera:LOMAS COLORADAS
368.0,22080,SFE 7,,,,,cochera:Cristo Redentor
368.0,22080,SFE B1,,,,,cochera:LAJA
368.0,22080,SFE B2,,,,,cochera:El Arenal
368.0,22080,UT 2,,,,,cochera:El Arenal
368.0,22080,UT 1,,,,,cochera:HUALQUI
370.0,22200,SFE 1,20000,L2,CW->CC,16.066,circulando
370.0,22200,SFE 2,20002,L2,CW->CC,26.69,circulando
370.0,22200,SFE 3,20281,L2,CC->CW,24.514,circulando
370.0,22200,SFE 10,,,,,cochera:CORONEL
370.0,22200,SFE 11,,,,,cochera:CORONEL
370.0,22200,SFE 5,,,,,cochera:CORONEL
370.0,22200,SFE 8,,,,,cochera:CORONEL
370.0,22200,SFE 9,,,,,cochera:CORONEL
370.0,22200,SFE 4,,,,,cochera:LOMAS COLORADAS
370.0,22200,SFE 6,,,,,cochera:LOMAS COLORADAS
370.0,22200,SFE 7,,,,,cochera:Cristo Redentor
370.0,22200,SFE B1,,,,,cochera:LAJA
370.0,22200,SFE B2,,,,,cochera:El Arenal
370.0,22200,UT 2,,,,,cochera:El Arenal
370.0,22200,SFE B3,,,,,cochera:TALCAMÁVIDA
370.0,22200,UT 1,,,,,cochera:HUALQUI
372.0,22320,SFE 1,20000,L2,CW->CC,15.226,circulando
372.0,22320,SFE 2,20002,L2,CW->CC,25.58,circulando
372.0,22320,SFE 3,20281,L2,CC->CW,25.935,circulando
372.0,22320,SFE 10,,,,,cochera:CORONEL
372.0,22320,SFE 11,,,,,cochera:CORONEL
372.0,22320,SFE 5,,,,,cochera:CORONEL
372.0,22320,SFE 8,,,,,cochera:CORONEL
372.0,22320,SFE 9,,,,,cochera:CORONEL
372.0,22320,SFE 4,,,,,cochera:LOMAS COLORADAS
372.0,22320,SFE 6,,,,,cochera:LOMAS COLORADAS
372.0,22320,SFE 7,,,,,cochera:Cristo Redentor
372.0,22320,SFE B1,,,,,cochera:LAJA
372.0,22320,SFE B2,,,,,cochera:El Arenal
372.0,22320,UT 2,,,,,cochera:El Arenal
372.0,22320,SFE B3,,,,,cochera:TALCAMÁVIDA
372.0,22320,UT 1,,,,,cochera:HUALQUI
374.0,22440,SFE 1,20000,L2,CW->CC,14.387,circulando
374.0,22440,SFE 2,20002,L2,CW->CC,24.25,circulando
374.0,22440,SFE 3,20281,L2,CC->CW,27.355,circulando
374.0,22440,SFE 10,,,,,cochera:CORONEL
374.0,22440,SFE 11,,,,,cochera:CORONEL
374.0,22440,SFE 5,,,,,cochera:CORONEL
374.0,22440,SFE 8,,,,,cochera:CORONEL
374.0,22440,SFE 9,,,,,cochera:CORONEL
374.0,22440,SFE 4,,,,,cochera:LOMAS COLORADAS
374.0,22440,SFE 6,,,,,cochera:LOMAS COLORADAS
374.0,22440,SFE 7,,,,,cochera:Cristo Redentor
374.0,22440,SFE B1,,,,,cochera:LAJA
374.0,22440,SFE B2,,,,,cochera:El Arenal
374.0,22440,UT 2,,,,,cochera:El Arenal
374.0,22440,SFE B3,,,,,cochera:TALCAMÁVIDA
374.0,22440,UT 1,,,,,cochera:HUALQUI
376.0,22560,SFE 1,20000,L2,CW->CC,13.581,circulando
376.0,22560,SFE 2,20002,L2,CW->CC,22.626,circulando
376.0,22560,SFE 6,20283,L2,CC->CW,11.452,circulando
376.0,22560,SFE 10,,,,,cochera:CORONEL
376.0,22560,SFE 11,,,,,cochera:CORONEL
376.0,22560,SFE 3,,,,,cochera:CORONEL
376.0,22560,SFE 5,,,,,cochera:CORONEL
376.0,22560,SFE 8,,,,,cochera:CORONEL
376.0,22560,SFE 9,,,,,cochera:CORONEL
376.0,22560,SFE 4,,,,,cochera:LOMAS COLORADAS
376.0,22560,SFE 7,,,,,cochera:Cristo Redentor
376.0,22560,SFE B1,,,,,cochera:LAJA
376.0,22560,SFE B2,,,,,cochera:El Arenal
376.0,22560,UT 2,,,,,cochera:El Arenal
376.0,22560,SFE B3,,,,,cochera:TALCAMÁVIDA
376.0,22560,UT 1,,,,,cochera:HUALQUI
378.0,22680,SFE 1,20000,L2,CW->CC,12.001,circulando
378.0,22680,SFE 2,20002,L2,CW->CC,20.55,circulando
378.0,22680,SFE 6,20283,L2,CC->CW,12.304,circulando
378.0,22680,SFE B3,20397,L1,LJ->TH,22.798,circulando
378.0,22680,UT 2,20205,L1,LJ->TH,82.79,circulando
378.0,22680,SFE 10,,,,,cochera:CORONEL
378.0,22680,SFE 11,,,,,cochera:CORONEL
378.0,22680,SFE 3,,,,,cochera:CORONEL
378.0,22680,SFE 5,,,,,cochera:CORONEL
378.0,22680,SFE 8,,,,,cochera:CORONEL
378.0,22680,SFE 9,,,,,cochera:CORONEL
378.0,22680,SFE 4,,,,,cochera:LOMAS COLORADAS
378.0,22680,SFE 7,,,,,cochera:Cristo Redentor
378.0,22680,SFE B1,,,,,cochera:LAJA
378.0,22680,SFE B2,,,,,cochera:El Arenal
378.0,22680,UT 1,,,,,cochera:HUALQUI
380.0,22800,SFE 1,20000,L2,CW->CC,10.832,circulando
380.0,22800,SFE 2,20002,L2,CW->CC,18.473,circulando
380.0,22800,SFE 3,20004,L2,CW->CC,27.355,circulando
380.0,22800,SFE 6,20283,L2,CC->CW,13.156,circulando
380.0,22800,SFE B3,20397,L1,LJ->TH,24.265,circulando
380.0,22800,UT 1,20301,L1,LJ->TH,46.917,circulando
380.0,22800,UT 2,20205,L1,LJ->TH,84.261,circulando
380.0,22800,SFE 10,,,,,cochera:CORONEL
380.0,22800,SFE 11,,,,,cochera:CORONEL
380.0,22800,SFE 5,,,,,cochera:CORONEL
380.0,22800,SFE 8,,,,,cochera:CORONEL
380.0,22800,SFE 9,,,,,cochera:CORONEL
380.0,22800,SFE 4,,,,,cochera:LOMAS COLORADAS
380.0,22800,SFE 7,,,,,cochera:Cristo Redentor
380.0,22800,SFE B1,,,,,cochera:LAJA
380.0,22800,SFE B2,,,,,cochera:El Arenal
382.0,22920,SFE 1,20000,L2,CW->CC,9.909,circulando
382.0,22920,SFE 2,20002,L2,CW->CC,17.138,circulando
382.0,22920,SFE 3,20004,L2,CW->CC,26.025,circulando
382.0,22920,SFE 6,20283,L2,CC->CW,14.007,circulando
382.0,22920,SFE B3,20397,L1,LJ->TH,24.998,circulando
382.0,22920,UT 1,20301,L1,LJ->TH,49.015,circulando
382.0,22920,SFE 10,,,,,cochera:CORONEL
382.0,22920,SFE 11,,,,,cochera:CORONEL
382.0,22920,SFE 5,,,,,cochera:CORONEL
382.0,22920,SFE 8,,,,,cochera:CORONEL
382.0,22920,SFE 9,,,,,cochera:CORONEL
382.0,22920,SFE 4,,,,,cochera:LOMAS COLORADAS
382.0,22920,SFE 7,,,,,cochera:Cristo Redentor
382.0,22920,SFE B1,,,,,cochera:LAJA
382.0,22920,SFE B2,,,,,cochera:El Arenal
382.0,22920,UT 2,,,,,cochera:Mercado
384.0,23040,SFE 1,20000,L2,CW->CC,9.089,circulando
384.0,23040,SFE 2,20002,L2,CW->CC,16.066,circulando
384.0,23040,SFE 3,20004,L2,CW->CC,24.915,circulando
384.0,23040,SFE 6,20283,L2,CC->CW,14.859,circulando
384.0,23040,SFE B3,20397,L1,LJ->TH,26.464,circulando
384.0,23040,UT 1,20301,L1,LJ->TH,51.112,circulando
384.0,23040,SFE 10,,,,,cochera:CORONEL
384.0,23040,SFE 11,,,,,cochera:CORONEL
384.0,23040,SFE 5,,,,,cochera:CORONEL
384.0,23040,SFE 8,,,,,cochera:CORONEL
384.0,23040,SFE 9,,,,,cochera:CORONEL
384.0,23040,SFE 4,,,,,cochera:LOMAS COLORADAS
384.0,23040,SFE 7,,,,,cochera:Cristo Redentor
384.0,23040,SFE B1,,,,,cochera:LAJA
384.0,23040,SFE B2,,,,,cochera:El Arenal
384.0,23040,UT 2,,,,,cochera:Mercado
386.0,23160,SFE 1,20000,L2,CW->CC,8.177,circulando
386.0,23160,SFE 2,20002,L2,CW->CC,15.226,circulando
386.0,23160,SFE 3,20004,L2,CW->CC,23.804,circulando
386.0,23160,SFE 6,20283,L2,CC->CW,15.711,circulando
386.0,23160,SFE B3,20397,L1,LJ->TH,27.197,circulando
386.0,23160,UT 1,20301,L1,LJ->TH,53.21,circulando
386.0,23160,SFE 10,,,,,cochera:CORONEL
386.0,23160,SFE 11,,,,,cochera:CORONEL
386.0,23160,SFE 5,,,,,cochera:CORONEL
386.0,23160,SFE 8,,,,,cochera:CORONEL
386.0,23160,SFE 9,,,,,cochera:CORONEL
386.0,23160,SFE 4,,,,,cochera:LOMAS COLORADAS
386.0,23160,SFE 7,,,,,cochera:Cristo Redentor
386.0,23160,SFE B1,,,,,cochera:LAJA
386.0,23160,SFE B2,,,,,cochera:El Arenal
386.0,23160,UT 2,,,,,cochera:Mercado
388.0,23280,SFE 1,20000,L2,CW->CC,7.045,circulando
388.0,23280,SFE 2,20002,L2,CW->CC,14.387,circulando
388.0,23280,SFE 3,20004,L2,CW->CC,21.448,circulando
388.0,23280,SFE 6,20283,L2,CC->CW,17.095,circulando
388.0,23280,SFE B3,20397,L1,LJ->TH,28.297,circulando
388.0,23280,UT 1,20301,L1,LJ->TH,54.617,circulando
388.0,23280,SFE 10,,,,,cochera:CORONEL
388.0,23280,SFE 11,,,,,cochera:CORONEL
388.0,23280,SFE 5,,,,,cochera:CORONEL
388.0,23280,SFE 8,,,,,cochera:CORONEL
388.0,23280,SFE 9,,,,,cochera:CORONEL
388.0,23280,SFE 4,,,,,cochera:LOMAS COLORADAS
388.0,23280,SFE 7,,,,,cochera:Cristo Redentor
388.0,23280,SFE B1,,,,,cochera:LAJA
388.0,23280,SFE B2,,,,,cochera:El Arenal
388.0,23280,UT 2,,,,,cochera:Mercado
390.0,23400,SFE 1,20000,L2,CW->CC,5.686,circulando
