origen,destino,franja,viajes
Laguna Quiñenco,Alborada,05-10,9.0
Laguna Quiñenco,Costa Mar,05-10,47.0
Laguna Quiñenco,El Parque,05-10,37.0
Laguna Quiñenco,Lomas Coloradas,05-10,46.0
Laguna Quiñenco,Cdal. Raúl Silva Henríquez,05-10,4.0
Laguna Quiñenco,Hito Galvarino,05-10,42.0
Laguna Quiñenco,Los Canelos,05-10,46.0
Laguna Quiñenco,Huinca,05-10,19.0
Laguna Quiñenco,Cristo Redentor,05-10,13.0
Laguna Quiñenco,Laguna Quiñenco,05-10,2.0
Laguna Quiñenco,Coronel,05-10,13.0
Coronel,Hualqui,05-10,5.0
Coronel,La Leonera,05-10,5.0
Coronel,Manquimávida,05-10,2.0
Coronel,Pedro Medina,05-10,7.0
Coronel,Chiguayante,05-10,2.0
Coronel,Concepción,05-10,1028.0
Coronel,Mall,05-10,24.0
Coronel,Lzo. Arenas,05-10,4.0
Coronel,UTF Santa María,05-10,26.0
Coronel,Los Cóndores,05-10,4.0
Coronel,Higueras,05-10,13.0
Coronel,El Arenal,05-10,3.0
Coronel,Mercado,05-10,7.0
Coronel,Juan Pablo II,05-10,93.0
Coronel,Diagonal Bio Bio,05-10,43.0
Coronel,Alborada,05-10,6.0
Coronel,Costa Mar,05-10,35.0
Coronel,El Parque,05-10,18.0
Coronel,Lomas Coloradas,05-10,22.0
Coronel,Cdal. Raúl Silva Henríquez,05-10,10.0
Coronel,Hito Galvarino,05-10,18.0
Coronel,Los Canelos,05-10,23.0
Coronel,Huinca,05-10,12.0
Coronel,Cristo Redentor,05-10,19.0
Coronel,Laguna Quiñenco,05-10,7.0
Coronel,Coronel,05-10,2.0
Hualqui,Hualqui,10-16,3.0
Hualqui,La Leonera,10-16,1.0
Hualqui,Chiguayante,10-16,3.0
Hualqui,Concepción,10-16,46.0
Hualqui,Mall,10-16,6.0
Hualqui,Lzo. Arenas,10-16,3.0
Hualqui,UTF Santa María,10-16,9.0
Hualqui,Los Cóndores,10-16,3.0
Hualqui,Higueras,10-16,6.0
Hualqui,El Arenal,10-16,2.0
Hualqui,Mercado,10-16,6.0
Hualqui,Costa Mar,10-16,3.0
Hualqui,El Parque,10-16,2.0
Hualqui,Cdal. Raúl Silva Henríquez,10-16,1.0
Hualqui,Los Canelos,10-16,1.0
Hualqui,Coronel,10-16,3.0
La Leonera,Hualqui,10-16,1.0
La Leonera,La Leonera,10-16,1.0
La Leonera,Manquimávida,10-16,1.0
La Leonera,Concepción,10-16,13.0
La Leonera,Mall,10-16,5.0
La Leonera,UTF Santa María,10-16,7.0
La Leonera,Higueras,10-16,6.0
La Leonera,El Arenal,10-16,1.0
La Leonera,Mercado,10-16,5.0
La Leonera,Juan Pablo II,10-16,2.0
La Leonera,Costa Mar,10-16,1.0
La Leonera,Lomas Coloradas,10-16,2.0
La Leonera,Los Canelos,10-16,1.0
La Leonera,Cristo Redentor,10-16,1.0
La Leonera,Coronel,10-16,4.0
Manquimávida,Hualqui,10-16,1.0
Manquimávida,La Leonera,10-16,1.0
Manquimávida,Pedro Medina,10-16,2.0
Manquimávida,Chiguayante,10-16,1.0
Manquimávida,Concepción,10-16,19.0
Manquimávida,Mall,10-16,6.0
Manquimávida,Lzo. Arenas,10-16,2.0
Manquimávida,UTF Santa María,10-16,2.0
Manquimávida,Los Cóndores,10-16,2.0
Manquimávida,Higueras,10-16,3.0
Manquimávida,El Arenal,10-16,1.0
Manquimávida,Mercado,10-16,2.0
Manquimávida,Costa Mar,10-16,1.0
Manquimávida,El Parque,10-16,1.0
Manquimávida,Lomas Coloradas,10-16,1.0
Manquimávida,Cristo Redentor,10-16,1.0
Manquimávida,Laguna Quiñenco,10-16,1.0
Manquimávida,Coronel,10-16,1.0
Pedro Medina,Concepción,10-16,7.0
Pedro Medina,Mall,10-16,1.0
Pedro Medina,Lzo. Arenas,10-16,1.0
Pedro Medina,UTF Santa María,10-16,3.0
Pedro Medina,Los Cóndores,10-16,2.0
Pedro Medina,Higueras,10-16,2.0
Pedro Medina,Mercado,10-16,2.0
Pedro Medina,Diagonal Bio Bio,10-16,1.0
Pedro Medina,Cdal. Raúl Silva Henríquez,10-16,1.0
Pedro Medina,Coronel,10-16,3.0
Chiguayante,Chiguayante,10-16,2.0
Chiguayante,Concepción,10-16,4.0
Chiguayante,Mall,10-16,1.0
Chiguayante,UTF Santa María,10-16,9.0
Chiguayante,Los Cóndores,10-16,2.0
Chiguayante,Higueras,10-16,2.0
Chiguayante,El Arenal,10-16,2.0
Chiguayante,Mercado,10-16,3.0
Chiguayante,Juan Pablo II,10-16,2.0
Chiguayante,Diagonal Bio Bio,10-16,1.0
Chiguayante,Alborada,10-16,1.0
Chiguayante,Costa Mar,10-16,1.0
Chiguayante,Lomas Coloradas,10-16,3.0
Chiguayante,Los Canelos,10-16,1.0
Chiguayante,Laguna Quiñenco,10-16,1.0
Chiguayante,Coronel,10-16,1.0
Concepción,Hualqui,10-16,3.0
Concepción,La Leonera,10-16,13.0
Concepción,Manquimávida,10-16,8.0
Concepción,Pedro Medina,10-16,5.0
Concepción,Chiguayante,10-16,2.0
Concepción,Concepción,10-16,77.0
Concepción,Mall,10-16,101.0
Concepción,Lzo. Arenas,10-16,4.0
Concepción,UTF Santa María,10-16,2.0
Concepción,Los Cóndores,10-16,6.0
Concepción,Higueras,10-16,8.0
Concepción,El Arenal,10-16,6.0
Concepción,Mercado,10-16,8.0
Concepción,Juan Pablo II,10-16,22.0
Concepción,Diagonal Bio Bio,10-16,22.0
Concepción,Alborada,10-16,14.0
Concepción,Costa Mar,10-16,104.0
Concepción,El Parque,10-16,52.0
Concepción,Lomas Coloradas,10-16,262.0
Concepción,Cdal. Raúl Silva Henríquez,10-16,158.0
Concepción,Hito Galvarino,10-16,140.0
Concepción,Los Canelos,10-16,349.0
Concepción,Huinca,10-16,227.0
Concepción,Cristo Redentor,10-16,373.0
Concepción,Laguna Quiñenco,10-16,330.0
Concepción,Coronel,10-16,408.0
Mall,Hualqui,10-16,4.0
Mall,La Leonera,10-16,3.0
Mall,Manquimávida,10-16,8.0
Mall,Pedro Medina,10-16,1.0
Mall,Chiguayante,10-16,4.0
Mall,Concepción,10-16,52.0
Mall,Mall,10-16,5.0
Mall,Lzo. Arenas,10-16,2.0
Mall,UTF Santa María,10-16,1.0
Mall,Higueras,10-16,2.0
Mall,El Arenal,10-16,2.0
Mall,Mercado,10-16,6.0
Mall,Juan Pablo II,10-16,3.0
Mall,Diagonal Bio Bio,10-16,4.0
Mall,Alborada,10-16,4.0
Mall,Costa Mar,10-16,17.0
Mall,El Parque,10-16,10.0
Mall,Lomas Coloradas,10-16,21.0
Mall,Cdal. Raúl Silva Henríquez,10-16,11.0
Mall,Hito Galvarino,10-16,5.0
Mall,Los Canelos,10-16,16.0
Mall,Huinca,10-16,4.0
Mall,Cristo Redentor,10-16,10.0
Mall,Laguna Quiñenco,10-16,15.0
Mall,Coronel,10-16,17.0
Lzo. Arenas,Hualqui,10-16,2.0
Lzo. Arenas,La Leonera,10-16,1.0
Lzo. Arenas,Concepción,10-16,6.0
Lzo. Arenas,Mall,10-16,2.0
Lzo. Arenas,Lzo. Arenas,10-16,2.0
Lzo. Arenas,Higueras,10-16,1.0
Lzo. Arenas,Mercado,10-16,1.0
Lzo. Arenas,Juan Pablo II,10-16,1.0
Lzo. Arenas,Alborada,10-16,1.0
Lzo. Arenas,El Parque,10-16,1.0
Lzo. Arenas,Cdal. Raúl Silva Henríquez,10-16,2.0
Lzo. Arenas,Coronel,10-16,1.0
UTF Santa María,Hualqui,10-16,6.0
UTF Santa María,La Leonera,10-16,7.0
UTF Santa María,Manquimávida,10-16,1.0
UTF Santa María,Pedro Medina,10-16,2.0
UTF Santa María,Chiguayante,10-16,8.0
UTF Santa María,Concepción,10-16,15.0
UTF Santa María,Mall,10-16,1.0
UTF Santa María,Lzo. Arenas,10-16,1.0
UTF Santa María,UTF Santa María,10-16,4.0
UTF Santa María,Los Cóndores,10-16,3.0
UTF Santa María,Higueras,10-16,2.0
UTF Santa María,El Arenal,10-16,4.0
UTF Santa María,Mercado,10-16,4.0
UTF Santa María,Juan Pablo II,10-16,2.0
UTF Santa María,Alborada,10-16,1.0
UTF Santa María,Costa Mar,10-16,4.0
UTF Santa María,El Parque,10-16,5.0
UTF Santa María,Lomas Coloradas,10-16,4.0
UTF Santa María,Cdal. Raúl Silva Henríquez,10-16,3.0
UTF Santa María,Hito Galvarino,10-16,1.0
UTF Santa María,Los Canelos,10-16,1.0
UTF Santa María,Huinca,10-16,3.0
UTF Santa María,Cristo Redentor,10-16,10.0
UTF Santa María,Laguna Quiñenco,10-16,4.0
UTF Santa María,Coronel,10-16,12.0
Los Cóndores,Hualqui,10-16,1.0
Los Cóndores,Manquimávida,10-16,1.0
Los Cóndores,Pedro Medina,10-16,4.0
Los Cóndores,Chiguayante,10-16,4.0
Los Cóndores,Concepción,10-16,23.0
Los Cóndores,Mall,10-16,2.0
Los Cóndores,Lzo. Arenas,10-16,2.0
Los Cóndores,Mercado,10-16,2.0
Los Cóndores,Diagonal Bio Bio,10-16,2.0
Los Cóndores,Alborada,10-16,1.0
Los Cóndores,Costa Mar,10-16,2.0
Los Cóndores,El Parque,10-16,8.0
Los Cóndores,Lomas Coloradas,10-16,1.0
Los Cóndores,Hito Galvarino,10-16,1.0
Los Cóndores,Los Canelos,10-16,2.0
Los Cóndores,Cristo Redentor,10-16,1.0
Los Cóndores,Coronel,10-16,1.0
Higueras,Hualqui,10-16,1.0
Higueras,La Leonera,10-16,2.0
Higueras,Manquimávida,10-16,8.0
Higueras,Pedro Medina,10-16,2.0
Higueras,Chiguayante,10-16,4.0
Higueras,Concepción,10-16,18.0
Higueras,Mall,10-16,5.0
Higueras,Lzo. Arenas,10-16,4.0
Higueras,UTF Santa María,10-16,2.0
Higueras,Higueras,10-16,2.0
Higueras,El Arenal,10-16,1.0
Higueras,Mercado,10-16,5.0
Higueras,Juan Pablo II,10-16,1.0
Higueras,Costa Mar,10-16,2.0
Higueras,El Parque,10-16,2.0
Higueras,Lomas Coloradas,10-16,1.0
Higueras,Hito Galvarino,10-16,2.0
Higueras,Los Canelos,10-16,2.0
Higueras,Laguna Quiñenco,10-16,3.0
Higueras,Coronel,10-16,6.0
El Arenal,Hualqui,10-16,1.0
El Arenal,Manquimávida,10-16,1.0
El Arenal,Chiguayante,10-16,2.0
El Arenal,Concepción,10-16,17.0
El Arenal,Mall,10-16,3.0
El Arenal,Lzo. Arenas,10-16,1.0
El Arenal,UTF Santa María,10-16,3.0
El Arenal,Mercado,10-16,1.0
El Arenal,Alborada,10-16,1.0
El Arenal,Costa Mar,10-16,2.0
El Arenal,Lomas Coloradas,10-16,1.0
El Arenal,Cdal. Raúl Silva Henríquez,10-16,2.0
El Arenal,Cristo Redentor,10-16,1.0
El Arenal,Coronel,10-16,1.0
Mercado,Hualqui,10-16,2.0
Mercado,La Leonera,10-16,1.0
Mercado,Manquimávida,10-16,2.0
Mercado,Pedro Medina,10-16,1.0
Mercado,Chiguayante,10-16,3.0
Mercado,Concepción,10-16,11.0
Mercado,Lzo. Arenas,10-16,1.0
Mercado,UTF Santa María,10-16,1.0
Mercado,Higueras,10-16,3.0
Mercado,Diagonal Bio Bio,10-16,2.0
Mercado,Costa Mar,10-16,1.0
Mercado,El Parque,10-16,1.0
Mercado,Lomas Coloradas,10-16,1.0
Mercado,Cdal. Raúl Silva Henríquez,10-16,1.0
Mercado,Hito Galvarino,10-16,1.0
Mercado,Los Canelos,10-16,1.0
Mercado,Huinca,10-16,2.0
Mercado,Cristo Redentor,10-16,2.0
Mercado,Coronel,10-16,6.0
Juan Pablo II,Hualqui,10-16,1.0
Juan Pablo II,La Leonera,10-16,1.0
Juan Pablo II,Manquimávida,10-16,1.0
Juan Pablo II,Chiguayante,10-16,3.0
Juan Pablo II,Concepción,10-16,19.0
Juan Pablo II,Mall,10-16,1.0
Juan Pablo II,Los Cóndores,10-16,1.0
Juan Pablo II,Higueras,10-16,1.0
Juan Pablo II,Juan Pablo II,10-16,1.0
Juan Pablo II,Diagonal Bio Bio,10-16,2.0
Juan Pablo II,Alborada,10-16,7.0
Juan Pablo II,Costa Mar,10-16,16.0
Juan Pablo II,El Parque,10-16,12.0
Juan Pablo II,Lomas Coloradas,10-16,35.0
Juan Pablo II,Cdal. Raúl Silva Henríquez,10-16,20.0
Juan Pablo II,Hito Galvarino,10-16,6.0
Juan Pablo II,Los Canelos,10-16,27.0
Juan Pablo II,Huinca,10-16,12.0
Juan Pablo II,Cristo Redentor,10-16,16.0
Juan Pablo II,Laguna Quiñenco,10-16,18.0
Juan Pablo II,Coronel,10-16,26.0
Diagonal Bio Bio,Hualqui,10-16,1.0
Diagonal Bio Bio,Concepción,10-16,19.0
Diagonal Bio Bio,Mall,10-16,4.0
Diagonal Bio Bio,Lzo. Arenas,10-16,1.0
Diagonal Bio Bio,UTF Santa María,10-16,2.0
Diagonal Bio Bio,Los Cóndores,10-16,2.0
Diagonal Bio Bio,Mercado,10-16,1.0
Diagonal Bio Bio,Juan Pablo II,10-16,4.0
Diagonal Bio Bio,Diagonal Bio Bio,10-16,9.0
Diagonal Bio Bio,Alborada,10-16,10.0
Diagonal Bio Bio,Costa Mar,10-16,38.0
Diagonal Bio Bio,El Parque,10-16,7.0
Diagonal Bio Bio,Lomas Coloradas,10-16,37.0
Diagonal Bio Bio,Cdal. Raúl Silva Henríquez,10-16,11.0
Diagonal Bio Bio,Hito Galvarino,10-16,6.0
Diagonal Bio Bio,Los Canelos,10-16,15.0
Diagonal Bio Bio,Huinca,10-16,12.0
Diagonal Bio Bio,Cristo Redentor,10-16,15.0
Diagonal Bio Bio,Laguna Quiñenco,10-16,7.0
Diagonal Bio Bio,Coronel,10-16,24.0
Alborada,Chiguayante,10-16,2.0
Alborada,Concepción,10-16,20.0
Alborada,Mall,10-16,4.0
Alborada,UTF Santa María,10-16,1.0
Alborada,Juan Pablo II,10-16,5.0
Alborada,Diagonal Bio Bio,10-16,5.0
Alborada,Alborada,10-16,1.0
Alborada,Costa Mar,10-16,2.0
Alborada,El Parque,10-16,3.0
Alborada,Lomas Coloradas,10-16,8.0
Alborada,Cdal. Raúl Silva Henríquez,10-16,3.0
Alborada,Hito Galvarino,10-16,2.0
Alborada,Los Canelos,10-16,6.0
Alborada,Huinca,10-16,3.0
Alborada,Cristo Redentor,10-16,7.0
Alborada,Laguna Quiñenco,10-16,4.0
Alborada,Coronel,10-16,8.0
Costa Mar,Manquimávida,10-16,1.0
Costa Mar,Concepción,10-16,149.0
Costa Mar,Mall,10-16,14.0
Costa Mar,Lzo. Arenas,10-16,2.0
Costa Mar,UTF Santa María,10-16,1.0
Costa Mar,Los Cóndores,10-16,3.0
Costa Mar,Higueras,10-16,1.0
Costa Mar,Mercado,10-16,1.0
Costa Mar,Juan Pablo II,10-16,17.0
Costa Mar,Diagonal Bio Bio,10-16,22.0
Costa Mar,Alborada,10-16,1.0
Costa Mar,Costa Mar,10-16,14.0
Costa Mar,El Parque,10-16,10.0
Costa Mar,Lomas Coloradas,10-16,48.0
Costa Mar,Cdal. Raúl Silva Henríquez,10-16,17.0
Costa Mar,Hito Galvarino,10-16,12.0
Costa Mar,Los Canelos,10-16,38.0
Costa Mar,Huinca,10-16,35.0
Costa Mar,Cristo Redentor,10-16,46.0
Costa Mar,Laguna Quiñenco,10-16,52.0
Costa Mar,Coronel,10-16,51.0
El Parque,La Leonera,10-16,1.0
El Parque,Pedro Medina,10-16,1.0
El Parque,Chiguayante,10-16,3.0
El Parque,Concepción,10-16,71.0
El Parque,Mall,10-16,3.0
El Parque,UTF Santa María,10-16,1.0
El Parque,Los Cóndores,10-16,4.0
El Parque,Higueras,10-16,1.0
El Parque,Juan Pablo II,10-16,10.0
El Parque,Diagonal Bio Bio,10-16,3.0
El Parque,Alborada,10-16,2.0
El Parque,Costa Mar,10-16,6.0
El Parque,El Parque,10-16,2.0
El Parque,Lomas Coloradas,10-16,18.0
El Parque,Cdal. Raúl Silva Henríquez,10-16,7.0
El Parque,Hito Galvarino,10-16,4.0
El Parque,Los Canelos,10-16,13.0
El Parque,Huinca,10-16,7.0
El Parque,Cristo Redentor,10-16,7.0
El Parque,Laguna Quiñenco,10-16,15.0
El Parque,Coronel,10-16,11.0
Lomas Coloradas,La Leonera,10-16,2.0
Lomas Coloradas,Pedro Medina,10-16,1.0
Lomas Coloradas,Chiguayante,10-16,1.0
Lomas Coloradas,Concepción,10-16,303.0
Lomas Coloradas,Mall,10-16,27.0
Lomas Coloradas,UTF Santa María,10-16,2.0
Lomas Coloradas,Los Cóndores,10-16,1.0
Lomas Coloradas,Higueras,10-16,2.0
Lomas Coloradas,El Arenal,10-16,1.0
Lomas Coloradas,Mercado,10-16,1.0
Lomas Coloradas,Juan Pablo II,10-16,51.0
Lomas Coloradas,Diagonal Bio Bio,10-16,40.0
Lomas Coloradas,Alborada,10-16,5.0
Lomas Coloradas,Costa Mar,10-16,32.0
Lomas Coloradas,El Parque,10-16,19.0
Lomas Coloradas,Lomas Coloradas,10-16,6.0
Lomas Coloradas,Cdal. Raúl Silva Henríquez,10-16,22.0
Lomas Coloradas,Hito Galvarino,10-16,9.0
Lomas Coloradas,Los Canelos,10-16,26.0
Lomas Coloradas,Huinca,10-16,16.0
Lomas Coloradas,Cristo Redentor,10-16,16.0
Lomas Coloradas,Laguna Quiñenco,10-16,16.0
Lomas Coloradas,Coronel,10-16,45.0
Cdal. Raúl Silva Henríquez,Concepción,10-16,225.0
Cdal. Raúl Silva Henríquez,Mall,10-16,6.0
Cdal. Raúl Silva Henríquez,Lzo. Arenas,10-16,1.0
Cdal. Raúl Silva Henríquez,UTF Santa María,10-16,3.0
Cdal. Raúl Silva Henríquez,Los Cóndores,10-16,1.0
Cdal. Raúl Silva Henríquez,Higueras,10-16,1.0
Cdal. Raúl Silva Henríquez,Mercado,10-16,3.0
Cdal. Raúl Silva Henríquez,Juan Pablo II,10-16,33.0
Cdal. Raúl Silva Henríquez,Diagonal Bio Bio,10-16,21.0
Cdal. Raúl Silva Henríquez,Alborada,10-16,4.0
Cdal. Raúl Silva Henríquez,Costa Mar,10-16,26.0
Cdal. Raúl Silva Henríquez,El Parque,10-16,8.0
Cdal. Raúl Silva Henríquez,Lomas Coloradas,10-16,8.0
Cdal. Raúl Silva Henríquez,Cdal. Raúl Silva Henríquez,10-16,8.0
Cdal. Raúl Silva Henríquez,Hito Galvarino,10-16,3.0
Cdal. Raúl Silva Henríquez,Los Canelos,10-16,8.0
Cdal. Raúl Silva Henríquez,Huinca,10-16,10.0
Cdal. Raúl Silva Henríquez,Cristo Redentor,10-16,5.0
Cdal. Raúl Silva Henríquez,Laguna Quiñenco,10-16,8.0
Cdal. Raúl Silva Henríquez,Coronel,10-16,21.0
Hito Galvarino,Concepción,10-16,162.0
Hito Galvarino,Mall,10-16,5.0
Hito Galvarino,UTF Santa María,10-16,2.0
Hito Galvarino,Los Cóndores,10-16,1.0
Hito Galvarino,Higueras,10-16,3.0
Hito Galvarino,Juan Pablo II,10-16,8.0
Hito Galvarino,Diagonal Bio Bio,10-16,11.0
Hito Galvarino,Costa Mar,10-16,13.0
Hito Galvarino,El Parque,10-16,3.0
Hito Galvarino,Lomas Coloradas,10-16,3.0
Hito Galvarino,Cdal. Raúl Silva Henríquez,10-16,2.0
Hito Galvarino,Hito Galvarino,10-16,2.0
Hito Galvarino,Los Canelos,10-16,3.0
Hito Galvarino,Huinca,10-16,6.0
Hito Galvarino,Cristo Redentor,10-16,7.0
Hito Galvarino,Laguna Quiñenco,10-16,13.0
Hito Galvarino,Coronel,10-16,7.0
Los Canelos,La Leonera,10-16,1.0
Los Canelos,Manquimávida,10-16,1.0
Los Canelos,Concepción,10-16,449.0
Los Canelos,Mall,10-16,20.0
Los Canelos,Los Cóndores,10-16,1.0
Los Canelos,Higueras,10-16,2.0
Los Canelos,Mercado,10-16,4.0
Los Canelos,Juan Pablo II,10-16,43.0
Los Canelos,Diagonal Bio Bio,10-16,22.0
Los Canelos,Alborada,10-16,1.0
Los Canelos,Costa Mar,10-16,52.0
Los Canelos,El Parque,10-16,11.0
Los Canelos,Lomas Coloradas,10-16,21.0
Los Canelos,Cdal. Raúl Silva Henríquez,10-16,11.0
Los Canelos,Hito Galvarino,10-16,5.0
Los Canelos,Los Canelos,10-16,11.0
Los Canelos,Huinca,10-16,4.0
Los Canelos,Cristo Redentor,10-16,13.0
Los Canelos,Laguna Quiñenco,10-16,23.0
Los Canelos,Coronel,10-16,51.0
Huinca,Concepción,10-16,325.0
Huinca,Mall,10-16,6.0
Huinca,UTF Santa María,10-16,3.0
Huinca,Los Cóndores,10-16,2.0
Huinca,Higueras,10-16,1.0
Huinca,Mercado,10-16,1.0
Huinca,Juan Pablo II,10-16,42.0
Huinca,Diagonal Bio Bio,10-16,22.0
Huinca,Alborada,10-16,3.0
Huinca,Costa Mar,10-16,46.0
Huinca,El Parque,10-16,6.0
Huinca,Lomas Coloradas,10-16,21.0
Huinca,Cdal. Raúl Silva Henríquez,10-16,7.0
Huinca,Hito Galvarino,10-16,6.0
Huinca,Los Canelos,10-16,7.0
Huinca,Huinca,10-16,9.0
Huinca,Cristo Redentor,10-16,11.0
Huinca,Laguna Quiñenco,10-16,18.0
Huinca,Coronel,10-16,33.0
Cristo Redentor,La Leonera,10-16,2.0
Cristo Redentor,Manquimávida,10-16,1.0
Cristo Redentor,Concepción,10-16,535.0
Cristo Redentor,Mall,10-16,15.0
Cristo Redentor,UTF Santa María,10-16,3.0
Cristo Redentor,Higueras,10-16,5.0
Cristo Redentor,Mercado,10-16,2.0
Cristo Redentor,Juan Pablo II,10-16,53.0
Cristo Redentor,Diagonal Bio Bio,10-16,20.0
Cristo Redentor,Alborada,10-16,5.0
Cristo Redentor,Costa Mar,10-16,59.0
Cristo Redentor,El Parque,10-16,11.0
Cristo Redentor,Lomas Coloradas,10-16,16.0
Cristo Redentor,Cdal. Raúl Silva Henríquez,10-16,9.0
Cristo Redentor,Hito Galvarino,10-16,14.0
Cristo Redentor,Los Canelos,10-16,16.0
Cristo Redentor,Huinca,10-16,14.0
Cristo Redentor,Cristo Redentor,10-16,9.0
Cristo Redentor,Laguna Quiñenco,10-16,18.0
Cristo Redentor,Coronel,10-16,58.0
Laguna Quiñenco,Hualqui,10-16,1.0
Laguna Quiñenco,Pedro Medina,10-16,1.0
Laguna Quiñenco,Concepción,10-16,413.0
Laguna Quiñenco,Mall,10-16,18.0
Laguna Quiñenco,UTF Santa María,10-16,3.0
Laguna Quiñenco,Higueras,10-16,1.0
Laguna Quiñenco,Mercado,10-16,3.0
Laguna Quiñenco,Juan Pablo II,10-16,30.0
Laguna Quiñenco,Diagonal Bio Bio,10-16,10.0
Laguna Quiñenco,Alborada,10-16,4.0
Laguna Quiñenco,Costa Mar,10-16,53.0
Laguna Quiñenco,El Parque,10-16,11.0
Laguna Quiñenco,Lomas Coloradas,10-16,26.0
Laguna Quiñenco,Cdal. Raúl Silva Henríquez,10-16,6.0
Laguna Quiñenco,Hito Galvarino,10-16,6.0
Laguna Quiñenco,Los Canelos,10-16,24.0
Laguna Quiñenco,Huinca,10-16,14.0
Laguna Quiñenco,Cristo Redentor,10-16,26.0
Laguna Quiñenco,Laguna Quiñenco,10-16,5.0
Laguna Quiñenco,Coronel,10-16,24.0
Coronel,Hualqui,10-16,1.0
Coronel,Manquimávida,10-16,1.0
Coronel,Pedro Medina,10-16,1.0
Coronel,Chiguayante,10-16,1.0
Coronel,Concepción,10-16,634.0
Coronel,Mall,10-16,19.0
Coronel,UTF Santa María,10-16,8.0
Coronel,Los Cóndores,10-16,3.0
Coronel,Higueras,10-16,4.0
Coronel,El Arenal,10-16,1.0
Coronel,Mercado,10-16,1.0
Coronel,Juan Pablo II,10-16,64.0
Coronel,Diagonal Bio Bio,10-16,27.0
Coronel,Alborada,10-16,9.0
Coronel,Costa Mar,10-16,51.0
Coronel,El Parque,10-16,26.0
Coronel,Lomas Coloradas,10-16,31.0
Coronel,Cdal. Raúl Silva Henríquez,10-16,14.0
Coronel,Hito Galvarino,10-16,11.0
Coronel,Los Canelos,10-16,46.0
Coronel,Huinca,10-16,34.0
Coronel,Cristo Redentor,10-16,49.0
Coronel,Laguna Quiñenco,10-16,46.0
Coronel,Coronel,10-16,9.0
Hualqui,Hualqui,16-24,3.0
Hualqui,La Leonera,16-24,4.0
Hualqui,Manquimávida,16-24,3.0
Hualqui,Pedro Medina,16-24,1.0
Hualqui,Chiguayante,16-24,2.0
Hualqui,Concepción,16-24,29.0
Hualqui,Mall,16-24,7.0
Hualqui,Lzo. Arenas,16-24,6.0
Hualqui,UTF Santa María,16-24,10.0
Hualqui,Los Cóndores,16-24,3.0
Hualqui,Higueras,16-24,3.0
Hualqui,El Arenal,16-24,4.0
Hualqui,Mercado,16-24,2.0
Hualqui,Juan Pablo II,16-24,4.0
Hualqui,Diagonal Bio Bio,16-24,4.0
Hualqui,Alborada,16-24,3.0
Hualqui,Costa Mar,16-24,1.0
Hualqui,El Parque,16-24,3.0
Hualqui,Lomas Coloradas,16-24,3.0
Hualqui,Cdal. Raúl Silva Henríquez,16-24,3.0
Hualqui,Hito Galvarino,16-24,1.0
Hualqui,Los Canelos,16-24,1.0
Hualqui,Huinca,16-24,1.0
Hualqui,Cristo Redentor,16-24,4.0
Hualqui,Laguna Quiñenco,16-24,1.0
Hualqui,Coronel,16-24,1.0
La Leonera,Hualqui,16-24,20.0
La Leonera,La Leonera,16-24,2.0
La Leonera,Pedro Medina,16-24,2.0
La Leonera,Chiguayante,16-24,4.0
La Leonera,Concepción,16-24,27.0
La Leonera,Mall,16-24,7.0
La Leonera,Lzo. Arenas,16-24,5.0
La Leonera,UTF Santa María,16-24,11.0
La Leonera,Los Cóndores,16-24,9.0
La Leonera,Higueras,16-24,4.0
La Leonera,El Arenal,16-24,5.0
La Leonera,Mercado,16-24,7.0
La Leonera,Juan Pablo II,16-24,3.0
La Leonera,Diagonal Bio Bio,16-24,4.0
La Leonera,Alborada,16-24,2.0
La Leonera,Costa Mar,16-24,7.0
La Leonera,El Parque,16-24,2.0
La Leonera,Lomas Coloradas,16-24,6.0
La Leonera,Cdal. Raúl Silva Henríquez,16-24,5.0
La Leonera,Los Canelos,16-24,3.0
La Leonera,Huinca,16-24,6.0
La Leonera,Cristo Redentor,16-24,6.0
La Leonera,Laguna Quiñenco,16-24,1.0
La Leonera,Coronel,16-24,3.0
Manquimávida,Hualqui,16-24,53.0
Manquimávida,La Leonera,16-24,3.0
Manquimávida,Manquimávida,16-24,2.0
Manquimávida,Pedro Medina,16-24,2.0
Manquimávida,Chiguayante,16-24,5.0
Manquimávida,Concepción,16-24,22.0
Manquimávida,Mall,16-24,6.0
Manquimávida,Lzo. Arenas,16-24,6.0
Manquimávida,UTF Santa María,16-24,6.0
Manquimávida,Los Cóndores,16-24,11.0
Manquimávida,Higueras,16-24,4.0
Manquimávida,El Arenal,16-24,5.0
Manquimávida,Mercado,16-24,5.0
Manquimávida,Juan Pablo II,16-24,1.0
Manquimávida,Diagonal Bio Bio,16-24,3.0
Manquimávida,Alborada,16-24,3.0
Manquimávida,Costa Mar,16-24,2.0
Manquimávida,Lomas Coloradas,16-24,6.0
Manquimávida,Cdal. Raúl Silva Henríquez,16-24,1.0
Manquimávida,Los Canelos,16-24,2.0
Manquimávida,Huinca,16-24,1.0
Manquimávida,Cristo Redentor,16-24,1.0
Manquimávida,Laguna Quiñenco,16-24,3.0
Manquimávida,Coronel,16-24,1.0
Pedro Medina,Hualqui,16-24,90.0
Pedro Medina,La Leonera,16-24,2.0
Pedro Medina,Manquimávida,16-24,3.0
Pedro Medina,Pedro Medina,16-24,5.0
