corredor,nombre,x1,y1,x2,y2
K05-CC,Concepción,5545.0,1450.0,5565.0,1450.0
K05-CC,Concepción,5475.0,1430.0,5565.0,1430.0
K05-CC,Concepción,5475.0,1430.0,5510.0,1440.0
K05-CC,Concepción,5355.0,1450.0,5390.0,1440.0
K05-CC,Concepción,5390.0,1440.0,5425.0,1430.0
K05-CC,Concepción,5345.0,1420.0,5380.0,1430.0
K05-CC,Concepción,5380.0,1430.0,5425.0,1430.0
K05-CC,Concepción,5310.0,1410.0,5345.0,1420.0
K05-CC,Concepción,5255.0,1480.0,5285.0,1470.0
K05-CC,Concepción,5285.0,1410.0,5310.0,1410.0
K05-CC,Concepción,5285.0,1430.0,5380.0,1430.0
K05-CC,Concepción,5035.0,1510.0,5170.0,1510.0
K05-CC,Concepción,5170.0,1490.0,5220.0,1490.0
K05-CC,Concepción,5220.0,1490.0,5225.0,1490.0
K05-CC,Concepción,4665.0,1450.0,4760.0,1450.0
K05-CC,Concepción,4590.0,1450.0,4665.0,1450.0
K05-CC,Concepción,4760.0,1450.0,4830.0,1490.0
K05-CC,Concepción,4830.0,1490.0,4940.0,1490.0
K05-CC,Concepción,4940.0,1490.0,4985.0,1490.0
K05-CC,Concepción,4985.0,1490.0,5170.0,1490.0
K05-CC,Concepción,4860.0,1470.0,4900.0,1470.0
K05-CC,Concepción,5115.0,1470.0,5170.0,1470.0
K05-CC,Concepción,5170.0,1470.0,5225.0,1470.0
K05-CC,Concepción,4900.0,1470.0,4985.0,1470.0
K05-CC,Concepción,4985.0,1470.0,5115.0,1470.0
K05-CC,Concepción,5115.0,1410.0,5170.0,1410.0
K05-CC,Concepción,5170.0,1410.0,5225.0,1410.0
K05-CC,Concepción,5115.0,1430.0,5170.0,1430.0
K05-CC,Concepción,5170.0,1430.0,5225.0,1430.0
K05-CC,Concepción,4920.0,1410.0,4955.0,1410.0
K05-CC,Concepción,4955.0,1410.0,5115.0,1410.0
K05-CC,Concepción,4955.0,1430.0,5115.0,1430.0
K05-CC,Concepción,4900.0,1410.0,4920.0,1410.0
K05-CC,Concepción,4900.0,1430.0,4955.0,1430.0
K05-CC,Concepción,4885.0,1430.0,4900.0,1430.0
K05-CC,Concepción,4790.0,1430.0,4860.0,1470.0
K05-CC,Concepción,4790.0,1430.0,4885.0,1430.0
K05-CC,Concepción,4665.0,1410.0,4760.0,1410.0
K05-CC,Concepción,4760.0,1410.0,4900.0,1410.0
K05-CC,Concepción,4665.0,1430.0,4760.0,1430.0
K05-CC,Concepción,4760.0,1430.0,4790.0,1430.0
K05-CC,Concepción,4590.0,1410.0,4665.0,1410.0
K05-CC,Concepción,4590.0,1430.0,4665.0,1430.0
K05-CC,Concepción,4530.0,1430.0,4590.0,1450.0
K05-CC,Concepción,4530.0,1430.0,4590.0,1430.0
K05-CC,Concepción,4385.0,1430.0,4435.0,1430.0
K05-CC,Concepción,4505.0,1410.0,4590.0,1410.0
K05-CC,Concepción,4435.0,1430.0,4505.0,1430.0
K05-CC,Concepción,4505.0,1430.0,4530.0,1430.0
K05-CC,Concepción,4435.0,1410.0,4505.0,1410.0
K05-CC,Concepción,4385.0,1410.0,4435.0,1410.0
K05-CC,Concepción,4400.0,1420.0,4435.0,1410.0
K05-CC,Concepción,4365.0,1430.0,4385.0,1430.0
K05-CC,Concepción,4365.0,1430.0,4400.0,1420.0
K05-CC,Concepción,4335.0,1410.0,4385.0,1410.0
K05-CC,Concepción,4335.0,1430.0,4365.0,1430.0
K05-CC,Concepción,4265.0,1410.0,4335.0,1410.0
K05-CC,Concepción,4265.0,1430.0,4335.0,1430.0
K05-CC,Concepción,4255.0,1430.0,4265.0,1430.0
K05-CC,Concepción,4210.0,1420.0,4255.0,1430.0
K05-CC,Concepción,4170.0,1410.0,4265.0,1410.0
K05-CC,Concepción,4170.0,1410.0,4210.0,1420.0
K05-CC,Concepción,4075.0,1410.0,4140.0,1410.0
K05-CC,Concepción,4075.0,1430.0,4160.0,1430.0
K05-CC,Concepción,3900.0,1430.0,4075.0,1430.0
K05-CC,Concepción,3900.0,1410.0,4075.0,1410.0
K05-CC,Concepción,3885.0,1430.0,3900.0,1430.0
K05-CC,Concepción,3885.0,1410.0,3900.0,1410.0
K05-CC,Concepción,3760.0,1430.0,3850.0,1430.0
K05-CC,Concepción,3850.0,1430.0,3885.0,1430.0
K05-CC,Concepción,3760.0,1410.0,3850.0,1410.0
K05-CC,Concepción,3850.0,1410.0,3885.0,1410.0
K05-CC,Concepción,3580.0,1410.0,3585.0,1410.0
K05-CC,Concepción,3580.0,1430.0,3585.0,1430.0
K05-CC,Concepción,3130.0,1430.0,3345.0,1430.0
K05-CC,Concepción,3130.0,1410.0,3345.0,1410.0
K05-CC,Concepción,3345.0,1430.0,3460.0,1430.0
K05-CC,Concepción,3460.0,1430.0,3580.0,1430.0
K05-CC,Concepción,3345.0,1410.0,3460.0,1410.0
K05-CC,Concepción,3460.0,1410.0,3580.0,1410.0
K05-CC,Concepción,3585.0,1430.0,3640.0,1430.0
K05-CC,Concepción,3585.0,1410.0,3640.0,1410.0
K05-CC,Concepción,3640.0,1430.0,3740.0,1430.0
K05-CC,Concepción,3740.0,1430.0,3760.0,1430.0
K05-CC,Concepción,3640.0,1410.0,3740.0,1410.0
K05-CC,Concepción,3740.0,1410.0,3760.0,1410.0
K05-CC,Concepción,560.0,1430.0,570.0,1430.0
K05-CC,Concepción,560.0,1410.0,570.0,1410.0
K05-CC,Concepción,550.0,1430.0,560.0,1430.0
K05-CC,Concepción,550.0,1410.0,560.0,1410.0
K05-CC,Concepción,4140.0,1410.0,4160.0,1410.0
K05-CC,Concepción,4160.0,1410.0,4170.0,1410.0
K05-CC,Concepción,4160.0,1430.0,4180.0,1430.0
K05-CC,Concepción,4180.0,1430.0,4255.0,1430.0
K05-CC,Concepción,5310.0,1410.0,5435.0,1410.0
K05-CC,Concepción,5355.0,1450.0,5435.0,1450.0
K05-CC,Concepción,5425.0,1430.0,5435.0,1430.0
K05-CC,Concepción,5465.0,1430.0,5475.0,1430.0
K05-CC,Concepción,5590.0,1450.0,5635.0,1450.0
K05-CC,Concepción,5635.0,1450.0,5640.0,1450.0
K05-CC,Concepción,5590.0,1430.0,5635.0,1430.0
K05-CC,Concepción,5590.0,1410.0,5635.0,1410.0
K05-CC,Concepción,6470.0,1430.0,6520.0,1430.0
K05-CC,Concepción,6100.0,1705.0,6145.0,1705.0
K05-CC,Concepción,6395.0,1705.0,6470.0,1705.0
K05-CC,Concepción,6470.0,1705.0,6510.0,1705.0
K05-CC,Concepción,6510.0,1705.0,6545.0,1705.0
K05-CC,Concepción,6545.0,1705.0,6580.0,1685.0
K05-CC,Concepción,6705.0,1665.0,6720.0,1665.0
K05-CC,Concepción,6720.0,1665.0,6780.0,1665.0
K05-CC,Concepción,8080.0,1430.0,8380.0,1430.0
K05-CC,Concepción,8080.0,1410.0,8380.0,1410.0
K05-CC,Concepción,8380.0,1430.0,8465.0,1430.0
K05-CC,Concepción,8380.0,1410.0,8465.0,1410.0
K05-CC,Concepción,7930.0,1430.0,8065.0,1430.0
K05-CC,Concepción,8065.0,1430.0,8080.0,1430.0
K05-CC,Concepción,7930.0,1410.0,8065.0,1410.0
K05-CC,Concepción,8065.0,1410.0,8080.0,1410.0
K05-CC,Concepción,7885.0,1410.0,7930.0,1410.0
K05-CC,Concepción,7885.0,1430.0,7930.0,1430.0
K05-CC,Concepción,7630.0,1430.0,7785.0,1430.0
K05-CC,Concepción,7785.0,1430.0,7805.0,1430.0
K05-CC,Concepción,7630.0,1410.0,7785.0,1410.0
K05-CC,Concepción,7785.0,1410.0,7805.0,1410.0
K05-CC,Concepción,7805.0,1430.0,7845.0,1430.0
K05-CC,Concepción,7845.0,1430.0,7885.0,1430.0
K05-CC,Concepción,7805.0,1410.0,7845.0,1410.0
K05-CC,Concepción,7845.0,1410.0,7885.0,1410.0
K05-CC,Concepción,7465.0,1430.0,7630.0,1430.0
K05-CC,Concepción,7465.0,1410.0,7630.0,1410.0
K05-CC,Concepción,7385.0,1410.0,7465.0,1410.0
K05-CC,Concepción,7385.0,1430.0,7465.0,1430.0
K05-CC,Concepción,7165.0,1410.0,7385.0,1410.0
K05-CC,Concepción,7165.0,1430.0,7385.0,1430.0
K05-CC,Concepción,7050.0,1430.0,7165.0,1430.0
K05-CC,Concepción,7050.0,1410.0,7165.0,1410.0
K05-CC,Concepción,6965.0,1430.0,7050.0,1430.0
K05-CC,Concepción,6965.0,1410.0,7050.0,1410.0
K05-CC,Concepción,6895.0,1410.0,6950.0,1410.0
K05-CC,Concepción,6950.0,1410.0,6965.0,1410.0
K05-CC,Concepción,6910.0,1420.0,6950.0,1410.0
K05-CC,Concepción,6875.0,1430.0,6965.0,1430.0
K05-CC,Concepción,6875.0,1430.0,6910.0,1420.0
K05-CC,Concepción,8725.0,1430.0,8765.0,1430.0
K05-CC,Concepción,8725.0,1410.0,8765.0,1410.0
K05-CC,Concepción,6745.0,1430.0,6875.0,1430.0
K05-CC,Concepción,6745.0,1410.0,6895.0,1410.0
K05-CC,Concepción,8465.0,1430.0,8695.0,1430.0
K05-CC,Concepción,8695.0,1430.0,8725.0,1430.0
K05-CC,Concepción,8465.0,1410.0,8695.0,1410.0
K05-CC,Concepción,8695.0,1410.0,8725.0,1410.0
K05-CC,Concepción,6240.0,1490.0,6240.0,1525.0
K05-CC,Concepción,6485.0,1665.0,6520.0,1665.0
K05-CC,Concepción,6335.0,1665.0,6450.0,1665.0
K05-CC,Concepción,6450.0,1665.0,6485.0,1665.0
K05-CC,Concepción,6424.0,1448.0,6345.0,1530.0
K05-CC,Concepción,6495.0,1645.0,6540.0,1665.0
K05-CC,Concepción,6430.0,1620.0,6495.0,1645.0
K05-CC,Concepción,6345.0,1585.0,6385.0,1605.0
K05-CC,Concepción,6385.0,1605.0,6430.0,1620.0
K05-CC,Concepción,1705.0,1430.0,1760.0,1430.0
K05-CC,Concepción,1760.0,1430.0,1800.0,1430.0
K05-CC,Concepción,1705.0,1410.0,1760.0,1410.0
K05-CC,Concepción,1760.0,1410.0,1800.0,1410.0
K05-CC,Concepción,570.0,1430.0,640.0,1430.0
K05-CC,Concepción,640.0,1430.0,700.0,1430.0
K05-CC,Concepción,570.0,1410.0,640.0,1410.0
K05-CC,Concepción,640.0,1410.0,700.0,1410.0
K05-CC,Concepción,455.0,1430.0,490.0,1430.0
K05-CC,Concepción,490.0,1430.0,550.0,1430.0
K05-CC,Concepción,455.0,1410.0,490.0,1410.0
K05-CC,Concepción,490.0,1410.0,550.0,1410.0
K05-CC,Concepción,2330.0,1430.0,2450.0,1430.0
K05-CC,Concepción,2450.0,1430.0,3130.0,1430.0
K05-CC,Concepción,2330.0,1410.0,2450.0,1410.0
K05-CC,Concepción,2450.0,1410.0,3130.0,1410.0
K05-CC,Concepción,1425.0,1430.0,1435.0,1430.0
K05-CC,Concepción,1435.0,1430.0,1540.0,1430.0
K05-CC,Concepción,1425.0,1410.0,1435.0,1410.0
K05-CC,Concepción,1435.0,1410.0,1540.0,1410.0
K05-CC,Concepción,5225.0,1410.0,5250.0,1410.0
K05-CC,Concepción,5250.0,1410.0,5285.0,1410.0
K05-CC,Concepción,5225.0,1470.0,5250.0,1470.0
K05-CC,Concepción,5250.0,1470.0,5285.0,1470.0
K05-CC,Concepción,5225.0,1430.0,5250.0,1430.0
K05-CC,Concepción,5250.0,1430.0,5285.0,1430.0
K05-CC,Concepción,5720.0,1430.0,5730.0,1430.0
K05-CC,Concepción,5720.0,1410.0,5730.0,1410.0
K05-CC,Concepción,5720.0,1450.0,5730.0,1450.0
K05-CC,Concepción,5640.0,1450.0,5660.0,1450.0
K05-CC,Concepción,5660.0,1450.0,5690.0,1450.0
K05-CC,Concepción,5635.0,1430.0,5660.0,1430.0
K05-CC,Concepción,5635.0,1410.0,5660.0,1410.0
K05-CC,Concepción,5690.0,1450.0,5705.0,1450.0
K05-CC,Concepción,5705.0,1450.0,5720.0,1450.0
K05-CC,Concepción,5660.0,1430.0,5705.0,1430.0
K05-CC,Concepción,5705.0,1430.0,5720.0,1430.0
K05-CC,Concepción,5660.0,1410.0,5705.0,1410.0
K05-CC,Concepción,5705.0,1410.0,5720.0,1410.0
K05-CC,Concepción,5935.0,1430.0,6020.0,1430.0
K05-CC,Concepción,6020.0,1430.0,6060.0,1430.0
K05-CC,Concepción,6085.0,1410.0,6130.0,1410.0
K05-CC,Concepción,6130.0,1410.0,6175.0,1410.0
K05-CC,Concepción,6060.0,1430.0,6130.0,1430.0
K05-CC,Concepción,6130.0,1430.0,6175.0,1430.0
K05-CC,Concepción,6310.0,1410.0,6465.0,1410.0
K05-CC,Concepción,6465.0,1410.0,6515.0,1410.0
K05-CC,Concepción,6520.0,1430.0,6565.0,1430.0
K05-CC,Concepción,6565.0,1430.0,6575.0,1430.0
K05-CC,Concepción,6515.0,1410.0,6565.0,1410.0
K05-CC,Concepción,6565.0,1410.0,6575.0,1410.0
K05-CC,Concepción,5170.0,1510.0,5195.0,1500.0
K05-CC,Concepción,5195.0,1500.0,5220.0,1490.0
K05-CC,Concepción,5285.0,1470.0,5320.0,1460.0
K05-CC,Concepción,5320.0,1460.0,5355.0,1450.0
K05-CC,Concepción,5435.0,1450.0,5450.0,1450.0
K05-CC,Concepción,5450.0,1450.0,5465.0,1450.0
K05-CC,Concepción,5435.0,1430.0,5450.0,1430.0
K05-CC,Concepción,5450.0,1430.0,5465.0,1430.0
K05-CC,Concepción,5435.0,1410.0,5450.0,1410.0
K05-CC,Concepción,5450.0,1410.0,5465.0,1410.0
K05-CC,Concepción,5845.0,1410.0,5855.0,1410.0
K05-CC,Concepción,5855.0,1410.0,5935.0,1410.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,700.0,2735.0,735.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,410.0,2735.0,510.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,855.0,2735.0,865.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,735.0,2735.0,770.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,770.0,2735.0,855.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,690.0,2735.0,700.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,620.0,2735.0,690.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,510.0,2735.0,565.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,565.0,2735.0,620.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,300.0,2735.0,410.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,120.0,2735.0,185.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,185.0,2735.0,300.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,20.0,2735.0,35.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,35.0,2735.0,120.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1735.0,2735.0,1770.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1645.0,2735.0,1735.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1415.0,2735.0,1480.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1480.0,2735.0,1550.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1355.0,2735.0,1415.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1275.0,2735.0,1295.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1295.0,2735.0,1355.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1190.0,2735.0,1240.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1240.0,2735.0,1275.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1030.0,2735.0,1130.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,900.0,2735.0,1030.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1550.0,2735.0,1595.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1595.0,2735.0,1645.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1130.0,2735.0,1145.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1145.0,2735.0,1190.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,865.0,2735.0,900.0,2735.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,435.0,2490.0,450.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,450.0,2490.0,465.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,510.0,2450.0,555.0,2450.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,510.0,2470.0,555.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,475.0,2450.0,510.0,2450.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,450.0,2470.0,475.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,475.0,2470.0,510.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,450.0,2450.0,460.0,2450.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,460.0,2450.0,475.0,2450.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,425.0,2470.0,450.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,425.0,2470.0,450.0,2450.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,555.0,2450.0,600.0,2450.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,555.0,2470.0,600.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,600.0,2450.0,640.0,2450.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,600.0,2470.0,640.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,640.0,2450.0,670.0,2450.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,670.0,2450.0,700.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,700.0,2470.0,715.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,715.0,2470.0,730.0,2480.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,400.0,2480.0,415.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,415.0,2470.0,425.0,2470.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,825.0,2490.0,860.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,800.0,2490.0,815.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,815.0,2490.0,825.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,760.0,2490.0,775.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,775.0,2490.0,800.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,730.0,2480.0,745.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,745.0,2490.0,760.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,605.0,2490.0,685.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,465.0,2490.0,510.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,510.0,2490.0,605.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,425.0,2490.0,435.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,375.0,2490.0,385.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,385.0,2490.0,400.0,2480.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,385.0,2490.0,425.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,335.0,2490.0,375.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,310.0,2490.0,320.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,320.0,2490.0,335.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,260.0,2490.0,310.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,200.0,2490.0,260.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,130.0,2490.0,200.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,35.0,2490.0,60.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,60.0,2490.0,130.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,20.0,2490.0,25.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,25.0,2490.0,35.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,685.0,2490.0,700.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,700.0,2490.0,745.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1420.0,2510.0,1555.0,2510.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1420.0,2490.0,1555.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1390.0,2510.0,1420.0,2510.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1390.0,2490.0,1420.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1240.0,2510.0,1390.0,2510.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1240.0,2490.0,1390.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1195.0,2510.0,1225.0,2510.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1210.0,2500.0,1225.0,2510.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1225.0,2510.0,1240.0,2510.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1195.0,2490.0,1240.0,2490.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1195.0,2490.0,1210.0,2500.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1165.0,2510.0,1185.0,2510.0
K-04-OH-ZW-CV_1,Chiguayante–La Leonera,1185.0,2510.0,1195.0,2510.0
