codigo,estacion,linea,km,capacidad,vias
HQ,Hualqui,L1,46.92,2,HQ/4 (N); HQ/4 (S)
ZW,La Leonera,L1,55.32,1,ZW/CM
EZ,El Arenal,L1,82.79,8,EZ/1 (A); EZ/1 (B); EZ/1 (C); EZ/1 (D); EZ/1 (E); EZ/2 (A); EZ/2 (B); EZ/2 (C)
CC,Concepción,L2,1.0,3,CC/8; CC/4 (N); CC/4 (S)
LM,Lomas Coloradas,L2,11.03,2,LM/3 (N); LM/3 (S)
GU,Lagunillas,L2,23.8,3,GU/4 (N); GU/4 (C); GU/4 (S)
CW,Coronel,L2,27.36,4,CW/1 (N); CW/1 (S); CW/2 (N); CW/2 (S)
